MILLET,PROTEIN (G),CARBS (G),FAT (G),MINERALS (G),FIBER (G),CALCIUM (MG),PHOSPHORUS (MG),IRON (G),ENERGY (KCAL),THIAMIN (MG),NIACIN (MG)
Finger,7.3,72,1.3,2.7,3.6,344,283,3.9,336,0.42,1.1
Sorghum,10.4,70.7,3.1,1.2,2,25,222,5.4,329,0.38,4.3
Pearl,11.8,67,4.8,2.2,2.3,43,10,11,363,0.38,2.8
Foxtail,12.3,60.2,4.3,4,6.7,31,290,2.8,351,0.59,3.2
Little,7.7,67,4.7,1.7,7.6,17,220,9.3,329,0.3,3.2
Kodo,8.3,65.9,1.4,2.6,5.2,35,188,1.7,353,0.15,2
Proso,12.5,70.4,1.1,1.9,5.2,8,206,2.9,354,0.41,4.5
Barnyard,6.2,65.5,4.8,3.7,13.6,22,280,18.6,300,0.33,4.2
Paddy Rice,6.8,78.2,0.5,0.6,1,33,160,1.8,362,0.41,4.3
Wheat,11.8,71.2,1.5,1.5,2,30,306,3.5,348,0.41,5.1
